2021/06/22,11:15:22,created
2021/06/22,11:15:22,scene 1- logging to file,Scene has started
2021/06/22,11:15:24,scene 1- logging to file,SPACE key was pressed
2021/06/22,11:15:24,scene 1- logging to file,SPACE key was pressed
2021/06/22,11:15:24,scene 1- logging to file,SPACE key was pressed
